Year,Month,Day,Hour,Minute,ZodiacIndex,Degree,Minute,Second,LatDegree,LatMinute,ZodiacIndexAverageSun,DegreeMean,MinuteMean,SecondMean
1580,11,18,1,31,2,6,28,35,1,40,1,25,49,31
1582,12,28,3,58,3,16,55,30,4,6,3,9,24,55
1585,1,30,19,14,4,21,36,10,4,32,4,20,8,9
1587,3,6,7,23,5,25,43,0,3,41,6,0,47,40
1589,4,14,6,23,7,4,23,0,1,12,7,14,18,26
1591,6,8,7,43,8,26,43,0,-4,0,9,5,43,55
1593,8,25,17,27,11,12,16,0,-6,-2,11,9,55,4
1595,10,31,0,39,1,17,31,40,0,8,1,7,13,9
1597,12,13,15,44,3,2,28,0,3,33,2,23,11,56
1600,1,18,14,2,4,8,38,0,4,30,4,4,35,50
1602,2,20,14,13,5,12,27,0,4,10,5,14,59,37
1604,3,28,16,23,6,18,37,10,2,26,6,27,0,12
